train_id,ref_speed_rpm,flow_pct_design,poly_head_pct_design,poly_eff_pct,surge_flow_pct_design
CGC-100A,10600,55.0,109.29,41.0,62.0
CGC-100A,10600,60.0,104.4,49.5,62.0
CGC-100A,10600,65.0,99.09,57.0,62.0
CGC-100A,10600,70.0,93.35,63.5,62.0
CGC-100A,10600,75.0,87.19,69.0,62.0
CGC-100A,10600,80.0,80.6,73.5,62.0
CGC-100A,10600,85.0,73.59,77.0,62.0
CGC-100A,10600,90.0,66.15,79.5,62.0
CGC-100A,10600,95.0,58.29,81.0,62.0
CGC-100A,10600,100.0,50.0,81.5,62.0
CGC-100A,10600,105.0,41.29,81.0,62.0
CGC-100A,10600,110.0,32.15,79.5,62.0
CGC-100A,10600,115.0,22.59,77.0,62.0
CGC-200B,10850,55.0,109.29,40.0,62.0
CGC-200B,10850,60.0,104.4,48.5,62.0
CGC-200B,10850,65.0,99.09,56.0,62.0
CGC-200B,10850,70.0,93.35,62.5,62.0
CGC-200B,10850,75.0,87.19,68.0,62.0
CGC-200B,10850,80.0,80.6,72.5,62.0
CGC-200B,10850,85.0,73.59,76.0,62.0
CGC-200B,10850,90.0,66.15,78.5,62.0
CGC-200B,10850,95.0,58.29,80.0,62.0
CGC-200B,10850,100.0,50.0,80.5,62.0
CGC-200B,10850,105.0,41.29,80.0,62.0
CGC-200B,10850,110.0,32.15,78.5,62.0
CGC-200B,10850,115.0,22.59,76.0,62.0
