ts,train_id,unit,feed_mode,gas_mw,diene_ppm,ambient_temp_c,cw_supply_temp_c,throughput_tph,speed_rpm,shaft_power_kw,surge_margin_pct,recycle_valve_pct,wash_oil_rate_kgph,antifoulant_ppm,run_hours_since_wash,vib_de_um,vib_nde_um,vib_axial_um,brg_de_temp_c,brg_nde_temp_c,brg_thrust_temp_c,lube_oil_press_bar,lube_oil_temp_c,seal_gas_dp_bar,p_s1_suct_bara,p_s1_disch_bara,t_s1_suct_c,t_s1_disch_c,p_s2_suct_bara,p_s2_disch_bara,t_s2_suct_c,t_s2_disch_c,p_s3_suct_bara,p_s3_disch_bara,t_s3_suct_c,t_s3_disch_c,p_s4_suct_bara,p_s4_disch_bara,t_s4_suct_c,t_s4_disch_c,p_s5_suct_bara,p_s5_disch_bara,t_s5_suct_c,t_s5_disch_c
2024-01-01 00:00:00,CGC-100A,Ethylene Unit 100,mixed,26.082,106.1,13.28,22.78,255.78,10673.6,24190.4,24.54,5.1,153.0,5.81,1.0,18.43,16.08,12.01,68.05,66.64,67.5,2.373,40.11,0.537,1.32,2.548,35.94,80.5,2.517,4.905,31.39,76.44,4.846,9.403,30.49,75.59,9.29,17.94,30.82,76.12,17.724,34.403,31.38,77.66
2024-01-01 01:00:00,CGC-100A,Ethylene Unit 100,mixed,25.956,105.4,13.74,20.79,257.59,10728.0,24284.6,23.31,5.1,143.1,6.08,2.0,18.45,16.38,12.02,67.22,67.92,66.9,2.407,42.07,0.518,1.32,2.543,35.64,79.95,2.512,4.923,29.36,74.47,4.864,9.475,28.9,74.0,9.361,18.092,29.09,74.14,17.875,34.661,28.37,74.06
2024-01-01 02:00:00,CGC-100A,Ethylene Unit 100,mixed,25.949,107.7,14.08,21.33,256.19,10679.0,24340.3,23.13,6.5,160.6,5.52,3.0,18.65,16.13,12.38,67.38,66.52,64.55,2.391,42.16,0.576,1.32,2.581,35.39,81.09,2.551,4.956,30.21,75.16,4.897,9.489,28.48,73.46,9.375,18.279,28.87,74.86,18.06,34.995,29.35,75.46
2024-01-01 03:00:00,CGC-100A,Ethylene Unit 100,mixed,25.941,107.6,11.93,21.57,257.52,10699.3,24523.8,21.38,4.6,151.5,6.92,4.0,18.63,16.35,12.45,66.65,67.66,65.68,2.346,40.12,0.525,1.32,2.564,36.78,82.01,2.533,4.949,29.54,74.62,4.89,9.5,29.56,74.73,9.386,18.208,29.34,74.86,17.989,35.045,28.21,74.38
2024-01-01 04:00:00,CGC-100A,Ethylene Unit 100,mixed,25.909,109.3,13.13,20.91,256.09,10710.8,24466.7,22.61,6.9,152.6,5.54,5.0,18.35,,12.15,65.21,67.34,65.43,2.458,,,1.32,2.568,35.22,80.53,2.538,4.935,28.15,72.86,4.875,9.497,29.01,74.46,9.383,18.352,29.3,75.59,18.131,35.367,28.49,74.97
2024-01-01 05:00:00,CGC-100A,Ethylene Unit 100,mixed,25.906,105.5,13.07,20.5,253.66,10668.6,24036.7,21.72,5.6,159.3,6.31,6.0,18.43,16.09,12.75,64.31,67.09,67.26,2.482,42.82,0.504,1.32,2.569,35.6,81.2,2.538,4.944,28.24,73.31,4.885,9.444,28.83,73.92,9.331,18.087,28.55,74.3,17.87,34.532,27.96,73.89
2024-01-01 06:00:00,CGC-100A,Ethylene Unit 100,mixed,25.865,108.7,12.62,21.67,255.7,10703.6,24392.8,23.15,6.1,151.0,5.96,7.0,18.55,16.48,12.36,64.01,67.39,66.64,2.387,40.77,0.518,1.32,2.56,36.13,81.26,2.529,4.953,30.48,75.99,4.893,9.529,30.14,75.68,9.415,18.176,29.74,75.08,17.957,34.735,29.73,75.72
2024-01-01 07:00:00,CGC-100A,Ethylene Unit 100,mixed,25.971,110.9,13.68,21.14,258.76,10706.6,24531.9,23.12,6.6,167.2,5.89,8.0,18.4,16.82,12.07,68.53,69.35,66.44,2.328,40.63,0.59,1.32,2.575,35.23,80.39,2.544,4.918,28.96,73.03,4.859,9.418,29.28,74.08,9.305,18.132,28.63,74.21,17.914,35.008,29.17,75.55
2024-01-01 08:00:00,CGC-100A,Ethylene Unit 100,mixed,26.059,111.7,13.23,21.83,258.97,10712.7,24462.8,23.19,5.4,171.2,7.09,9.0,19.09,16.21,12.3,67.15,67.85,63.0,2.459,40.85,0.541,1.32,2.568,34.71,79.72,2.537,4.949,29.31,74.21,4.889,9.465,29.51,74.37,9.351,18.133,30.11,75.68,17.915,35.175,30.5,77.58
2024-01-01 09:00:00,CGC-100A,Ethylene Unit 100,mixed,26.071,112.5,14.15,20.59,257.03,10733.3,24158.0,23.12,7.1,151.0,6.01,10.0,18.45,16.18,12.42,67.61,67.64,66.69,2.379,42.73,0.515,1.32,2.569,36.37,81.7,2.538,4.903,27.93,71.97,4.844,9.444,28.26,73.5,9.331,18.095,27.68,72.95,17.878,34.513,28.42,73.96
