ts,train_id,fouling_index_true,polytropic_eff_true,specific_energy_kwh_per_t_true,health_index_true,rul_hours_to_next_wash_true
2024-01-01 00:00:00,CGC-100A,0.00017,0.81393,94.573,0.9997,2678.0
2024-01-01 01:00:00,CGC-100A,0.00033,0.81486,94.275,0.9994,2677.0
2024-01-01 02:00:00,CGC-100A,0.0005,0.80945,95.008,0.9992,2676.0
2024-01-01 03:00:00,CGC-100A,0.00067,0.81215,95.231,0.9989,2675.0
2024-01-01 04:00:00,CGC-100A,0.00084,0.80935,95.538,0.9986,2674.0
2024-01-01 05:00:00,CGC-100A,0.001,0.80563,94.76,0.9983,2673.0
2024-01-01 06:00:00,CGC-100A,0.00117,0.81027,95.398,0.9981,2672.0
2024-01-01 07:00:00,CGC-100A,0.00134,0.81487,94.806,0.9978,2671.0
2024-01-01 08:00:00,CGC-100A,0.00151,0.81266,94.463,0.9975,2670.0
2024-01-01 09:00:00,CGC-100A,0.00169,0.81196,93.99,0.9972,2669.0
2024-01-01 10:00:00,CGC-100A,0.00186,0.81738,94.169,0.9969,2668.0
2024-01-01 11:00:00,CGC-100A,0.00203,0.8128,94.074,0.9966,2667.0
2024-01-01 12:00:00,CGC-100A,0.00221,0.81419,94.667,0.9963,2666.0
2024-01-01 13:00:00,CGC-100A,0.00239,0.81187,94.605,0.996,2665.0
2024-01-01 14:00:00,CGC-100A,0.00258,0.81508,94.824,0.9957,2664.0
2024-01-01 15:00:00,CGC-100A,0.00275,0.81483,95.678,0.9954,2663.0
2024-01-01 16:00:00,CGC-100A,0.00292,0.81749,93.955,0.9951,2662.0
2024-01-01 17:00:00,CGC-100A,0.0031,0.81799,95.293,0.9948,2661.0
2024-01-01 18:00:00,CGC-100A,0.00328,0.81532,94.639,0.9945,2660.0
2024-01-01 19:00:00,CGC-100A,0.00346,0.813,94.345,0.9942,2659.0
2024-01-01 20:00:00,CGC-100A,0.00363,0.81302,94.064,0.994,2658.0
2024-01-01 21:00:00,CGC-100A,0.0038,0.8163,95.138,0.9937,2657.0
2024-01-01 22:00:00,CGC-100A,0.00395,0.8144,93.96,0.9934,2656.0
2024-01-01 23:00:00,CGC-100A,0.00412,0.81343,95.208,0.9931,2655.0
2024-01-02 00:00:00,CGC-100A,0.00428,0.80834,95.228,0.9929,2654.0
2024-01-02 01:00:00,CGC-100A,0.00444,0.81408,95.095,0.9926,2653.0
2024-01-02 02:00:00,CGC-100A,0.00461,0.80712,95.409,0.9923,2652.0
2024-01-02 03:00:00,CGC-100A,0.00477,0.81593,95.147,0.992,2651.0
2024-01-02 04:00:00,CGC-100A,0.00495,0.81243,95.853,0.9918,2650.0
2024-01-02 05:00:00,CGC-100A,0.00511,0.81644,95.541,0.9915,2649.0
2024-01-02 06:00:00,CGC-100A,0.00527,0.81627,95.134,0.9912,2648.0
2024-01-02 07:00:00,CGC-100A,0.00542,0.81071,94.196,0.991,2647.0
2024-01-02 08:00:00,CGC-100A,0.00558,0.8159,94.533,0.9907,2646.0
2024-01-02 09:00:00,CGC-100A,0.00575,0.81716,93.193,0.9904,2645.0
2024-01-02 10:00:00,CGC-100A,0.00592,0.81313,94.182,0.9901,2644.0
2024-01-02 11:00:00,CGC-100A,0.00609,0.81872,92.736,0.9898,2643.0
2024-01-02 12:00:00,CGC-100A,0.00627,0.8124,94.412,0.9895,2642.0
2024-01-02 13:00:00,CGC-100A,0.00645,0.81527,95.152,0.9893,2641.0
2024-01-02 14:00:00,CGC-100A,0.00662,0.81366,94.032,0.989,2640.0
2024-01-02 15:00:00,CGC-100A,0.00681,0.81035,93.158,0.9887,2639.0
2024-01-02 16:00:00,CGC-100A,0.00698,0.81295,95.109,0.9884,2638.0
2024-01-02 17:00:00,CGC-100A,0.00716,0.81885,95.161,0.9881,2637.0
2024-01-02 18:00:00,CGC-100A,0.00735,0.80867,94.438,0.9878,2636.0
2024-01-02 19:00:00,CGC-100A,0.00752,0.81372,94.3,0.9875,2635.0
2024-01-02 20:00:00,CGC-100A,0.00771,0.80811,94.986,0.9872,2634.0
2024-01-02 21:00:00,CGC-100A,0.0079,0.81478,94.809,0.9868,2633.0
2024-01-02 22:00:00,CGC-100A,0.00808,0.815,94.677,0.9865,2632.0
2024-01-02 23:00:00,CGC-100A,0.00827,0.8152,93.563,0.9862,2631.0
2024-01-03 00:00:00,CGC-100A,0.00845,0.8112,94.657,0.9859,2630.0
2024-01-03 01:00:00,CGC-100A,0.00863,0.81284,94.386,0.9856,2629.0
2024-01-03 02:00:00,CGC-100A,0.0088,0.81682,95.462,0.9853,2628.0
2024-01-03 03:00:00,CGC-100A,0.00897,0.81645,94.588,0.985,2627.0
2024-01-03 04:00:00,CGC-100A,0.00914,0.81498,95.902,0.9848,2626.0
2024-01-03 05:00:00,CGC-100A,0.0093,0.81288,95.863,0.9845,2625.0
